Contract Symbol,Ticker,Option Type,strike,Expiry,Calendar DTE,Current Stock Price,bid,ask,MarketMid,SpreadPct,volume,openInterest,Initial Recommended Action,BS_ForeV,BS_ForeV AskEdge,Forecast Edge Per Contract,Forecast Edge Return,Premium Paid,Moneyness,Break-Even Price,IV_Mid,IV Used,ForeV Used,Volatility Spread,Greek Volatility,Greek Volatility Source,Delta,Gamma,Vega,Theta,Rho,Base_Mark_to_Ask_PnL,Scenario_Count,Mean_Purchase_PnL,Median_Purchase_PnL,Purchase_PnL_StdDev,Fifth_Percentile_Purchase_PnL,Expected_Shortfall_5pct_PnL,Worst_Purchase_PnL,Best_Purchase_PnL,Mean_Purchase_Return,Median_Purchase_Return,Purchase_Return_StdDev,Fifth_Percentile_Purchase_Return,Expected_Shortfall_5pct_Return,Worst_Purchase_Return,Best_Purchase_Return,Scenario_Profit_Frequency,Scenario_Loss_Frequency,Scenario_Breakeven_Frequency,Mean_Scenario_Movement_PnL,Median_Scenario_Movement_PnL,Positive_Movement_Frequency,Negative_Movement_Frequency,Base_Mark_to_Ask_Return,Mean_Scenario_Movement_Return,Mean_PnL_Minus_Forecast_Edge,Mean_Return_Minus_Forecast_Edge,Attribution_Scenario_Count,Mean_Full_Movement_PnL,Mean_Approximate_PnL,Mean_Residual_PnL,Median_Absolute_Residual_PnL,P95_Absolute_Residual_PnL,Gross_Full_Movement_PnL,Gross_Residual_PnL,Mean_Delta_PnL,Mean_Gamma_PnL,Mean_Vega_PnL,Mean_Theta_PnL,Mean_Rho_PnL,Mean_Absolute_Delta_PnL,Mean_Absolute_Gamma_PnL,Mean_Absolute_Vega_PnL,Mean_Absolute_Theta_PnL,Mean_Absolute_Rho_PnL,Gross_Residual_Ratio,Local_Scenario_Count,Local_Gross_Full_Movement_PnL,Local_Gross_Residual_PnL,Local_Median_Absolute_Residual_PnL,Local_Gross_Residual_Ratio,Mean_Full_Movement_Return,Mean_Approximate_Return,Mean_Residual_Return,Mean_Delta_Return,Mean_Gamma_Return,Mean_Vega_Return,Mean_Theta_Return,Mean_Rho_Return,Mean_Absolute_Greek_PnL_Total,Delta_Driver_Share,Gamma_Driver_Share,Vega_Driver_Share,Theta_Driver_Share,Rho_Driver_Share,Dominant Greek,Dominant Driver Share,Second Driver Share,Risk Driver,Attribution Reliability,Forecast_Edge_Score,Mean_Return_Score,Median_Return_Score,Profit_Frequency_Score,Fifth_Percentile_Score,Expected_Shortfall_Score,Tail_Risk_Score,Spread_Liquidity_Score,Volume_Liquidity_Score,Open_Interest_Liquidity_Score,Liquidity_Score,Final Score,Missing Liquidity Data,Spread Rejection,Volume Rejection,Open Interest Rejection,Liquidity Rejection,Risk Tail Cutoff,Risk Rejection,Final Recommended Action,Attribution Warning,Recommendation Change,Final Recommendation Reason,Overall Score Rank,Final Shortlist Rank,Ticker Shortlist Rank
AMZN260918P00280000,AMZN,Puts,280.0,2026-09-18,47,271.5799865722656,16.05,16.7,16.375,0.03969465648854953,175.0,1868.0,Positive Edge,17.264945902781392,0.033829095974933686,56.494590278139256,0.033829095974933686,1670.0,1.0310038067753342,263.3,0.318155806883421,0.30158169128417966,0.34133470902212126,0.0397530177379416,0.318155806883421,Calculated Mid IV,-0.5667321045684516,0.012686352766655489,0.38333383705167257,-0.11224920761576937,-0.2192750809875937,-32.500253925762124,1000,116.3468853346405,-205.64298905944122,1347.865536748307,-1486.3968317329213,-1582.044205496491,-1669.3798900245542,6989.4636336524645,0.06966879361355718,-0.12313951440685103,0.8071051118253335,-0.8900579830736056,-0.947331859578737,-0.9996286766614098,4.185307565061356,0.442,0.558,0.0,148.84713926040266,-173.14273513367908,0.447,0.553,-0.01946122989566594,0.08913002350922315,59.85229505650125,0.0358396976386235,1000,148.84713926040266,146.55488787868356,2.2922513817190664,42.6755475799261,281.71353903868453,1041325.5579027071,76784.67414054446,35.574304807969405,292.9555084265446,-15.5975384895187,-165.89310393534558,-0.48428293096620795,962.8137494567362,292.9555084265446,154.75580238216935,165.89310393534555,8.752638317080814,0.07373743356034923,66,24993.06161008162,463.3356098799985,4.444927170368388,0.018538569508151,0.08913002350922315,0.08775741789142728,0.0013726056177958482,0.021301978926927787,0.17542246013565546,-0.009339843406897424,-0.09933718798523687,-0.0002899897790216814,1585.1708025178764,0.6073880164379815,0.1848100582985857,0.09762720972172595,0.10465314127149067,0.00552157427021629,Delta,0.6073880164379815,0.1848100582985857,Directional,High,88.16120906801007,83.37531486146096,64.48362720403023,44.2,61.46095717884131,61.586901763224176,61.523929471032744,74.68513853904281,68.89168765743074,64.04282115869017,69.20654911838791,71.01916876574309,False,False,False,False,False,-0.9995446305265128,False,Watchlist,Greek attribution is reliable under local shocks.,Positive Edge -> Watchlist,"Positive valuation and scenario evidence, but the score or consistency is below the Candidate requirement. Composite score: 71.0. Primary risk driver: Directional.",53,1,1
GOOGL260918P00350000,GOOGL,Puts,350.0,2026-09-18,47,356.1300048828125,12.5,13.3,12.9,0.06201550387596905,1175.0,3929.0,Buy,17.160512225673216,0.29026407711828683,386.05122256732153,0.29026407711828683,1330.0,0.982787170980357,336.7,0.2233968875162735,0.31699291412353514,0.309851520045094,-0.007141394078441166,0.2233968875162735,Calculated Mid IV,-0.5168282978435541,0.01348293938055985,0.4919079310161532,-0.2227367514062108,-0.25361722211566534,-40.00087617966024,1000,168.47723827668906,-380.44803248311644,1566.6591241742258,-1314.99809777669,-1325.811730893891,-1329.9999999969584,9008.74938773949,0.12667461524563087,-0.28605115224294464,1.1779391911084405,-0.988720374268188,-0.9968509254841287,-0.999999999997713,6.773495780255256,0.407,0.593,0.0,208.4781144563493,-340.4471563034562,0.416,0.584,-0.03007584675162424,0.1567504619972551,-217.57398429063247,-0.16358946187265597,1000,208.4781144563493,228.17468821975356,-19.696573763404274,72.78601532953735,483.6755479183198,1175397.9683428556,140518.99325038894,42.5417835923938,535.3910083166423,-20.01532905713647,-329.1826449032389,-0.5601297289071863,1151.3876206512364,535.3910083166423,198.58827790434802,329.1826449032389,10.123447708528095,0.11955014134361726,66,29885.441595280485,669.9999620670424,5.522226908767806,0.022418941340751307,0.1567504619972551,0.17155991595470194,-0.014809453957446822,0.03198630345292767,0.4025496303132649,-0.015049119591831932,-0.24750574804754805,-0.00042115017211066634,2224.672999483994,0.5175536453754315,0.24066054132037593,0.08926627776325329,0.14796900262626994,0.004550532914669346,Delta,0.5175536453754315,0.24066054132037593,Directional,High,92.82115869017632,88.53904282115869,56.297229219143574,40.699999999999996,52.64483627204031,51.63727959697732,52.141057934508815,61.46095717884131,88.79093198992443,76.19647355163728,75.48278757346766,70.6243115029387,False,False,False,False,False,-0.9995446305265128,False,Watchlist,Greek attribution is reliable under local shocks.,Buy -> Watchlist,"Positive valuation and scenario evidence, but the score or consistency is below the Candidate requirement. Composite score: 70.6. Primary risk driver: Directional.",62,2,1
AMZN260918P00265000,AMZN,Puts,265.0,2026-09-18,47,271.5799865722656,8.65,9.0,8.825,0.03966005665722376,2167.0,684.0,Buy,9.515320593935044,0.05725784377056047,51.532059393504426,0.05725784377056047,900.0,0.9757714599837984,256.0,0.32272735852647433,0.30951618225097655,0.34133470902212126,0.03181852677114472,0.32272735852647433,Calculated Mid IV,-0.3777522254166147,0.012084221270953335,0.3703863480460688,-0.11571688549463856,-0.1434658049895322,-17.50106442041357,1000,110.65223084614608,-211.92329143898618,991.0790083394846,-856.7633443389379,-882.2507943982405,-899.9892131054038,6275.633015377159,0.12294692316238454,-0.23547032382109576,1.101198898154982,-0.9519592714877088,-0.9802786604424896,-0.9999880145615597,6.972925572641287,0.411,0.589,0.0,128.15329526655967,-194.4222270185726,0.417,0.583,-0.019445627133792855,0.1423925502961774,59.12017145264166,0.06568907939182406,1000,128.15329526655967,116.35728776126737,11.796007505292282,41.493681613706485,260.0553562961523,723083.9848371977,76437.25454928842,23.711860860771658,279.0509811201071,-15.07071581281275,-171.01798507252633,-0.3168533342723428,641.758308003297,279.0509811201071,149.5287682510122,171.01798507252633,5.726616523348906,0.1057100643246832,66,16884.7802946112,358.47725077605656,4.238728717098155,0.021230791548437565,0.1423925502961774,0.1292858752902971,0.013106675005880314,0.026346512067524065,0.3100566456890079,-0.016745239792014168,-0.19001998341391815,-0.0003520592603026031,1247.0826589702915,0.514607675270854,0.2237630193258543,0.11990285261000837,0.13713444240635567,0.00459201038692763,Delta,0.514607675270854,0.2237630193258543,Directional,High,88.9168765743073,88.28715365239294,58.56423173803527,41.099999999999994,57.80856423173803,57.80856423173803,57.80856423173803,74.81108312342569,92.82115869017632,46.914357682619645,71.51553316540722,70.62133921074728,False,False,False,False,False,-0.9995446305265128,False,Watchlist,Greek attribution is reliable under local shocks.,Buy -> Watchlist,"Positive valuation and scenario evidence, but the score or consistency is below the Candidate requirement. Composite score: 70.6. Primary risk driver: Directional.",63,3,2
AMZN260918P00270000,AMZN,Puts,270.0,2026-09-18,47,271.5799865722656,10.85,11.45,11.149999999999999,0.05381165919282509,1409.0,1783.0,Positive Edge,11.801573603356374,0.0307051181970633,35.15736033563748,0.0307051181970633,1145.0,0.9941822422476436,258.55,0.32438836720702796,0.31223221954345703,0.34133470902212126,0.02910248947866423,0.32438836720702796,Calculated Mid IV,-0.44045733589831815,0.01247875057243239,0.3844473700106284,-0.11923527171134836,-0.16838798968155252,-30.000112686436964,1000,102.01198110300624,-232.5872452072698,1111.4105240255158,-1066.9721890272967,-1111.7008102276993,-1144.9412467381874,6524.483749109759,0.08909343327773471,-0.20313296524652386,0.9706642131227217,-0.9318534401985125,-0.9709177381901303,-0.9999486871075872,5.698239082191929,0.419,0.581,0.0,132.0120937894432,-202.58713252083282,0.428,0.572,-0.026200971778547567,0.11529440505628229,66.85462076736876,0.05838831508067141,1000,132.0120937894432,123.57689023356615,8.435203555877063,41.053771015333666,248.50751709417682,831009.1629197742,74991.21503150123,27.647919353508914,288.16152173251646,-15.642847229598226,-176.21780806220175,-0.37189556065927837,748.2871988960409,288.16152173251646,155.20534706068668,176.21780806220178,6.721416605958766,0.09024114098575937,66,19620.781603915646,322.29656449129385,3.298931862643869,0.016426285710604633,0.11529440505628229,0.10792741505114947,0.007366990005132806,0.024146654457213024,0.2516694512947742,-0.013661875309692774,-0.1539020157748487,-0.000324799616296313,1374.5932923574046,0.5443698896658667,0.20963402290311212,0.1129100134007726,0.12819632471797615,0.004889749312272322,Delta,0.5443698896658667,0.20963402290311212,Directional,High,87.6574307304786,85.8942065491184,60.32745591939547,41.9,59.19395465994962,59.19395465994962,59.19395465994962,66.12090680100756,89.54659949622166,62.72040302267003,72.79596977329976,70.52933249370277,False,False,False,False,False,-0.9995446305265128,False,Watchlist,Greek attribution is reliable under local shocks.,Positive Edge -> Watchlist,"Positive valuation and scenario evidence, but the score or consistency is below the Candidate requirement. Composite score: 70.5. Primary risk driver: Directional.",64,4,3
AMZN260918P00275000,AMZN,Puts,275.0,2026-09-18,47,271.5799865722656,13.4,13.95,13.675,0.040219378427787854,541.0,641.0,Positive Edge,14.387296138681648,0.03134739345388166,43.72961386816492,0.03134739345388166,1395.0,1.012593024511489,261.05,0.3230133825152724,0.3078682495117187,0.34133470902212126,0.03346645951040256,0.3230133825152724,Calculated Mid IV,-0.5033316190993723,0.012672845681387015,0.38877218064163427,-0.11814532213306285,-0.19362685722418313,-27.50009801769231,1000,111.17796949607802,-219.14926504347926,1230.4526950364545,-1273.2985970131556,-1338.6107908100819,-1394.7789977789835,6769.098116046824,0.07969746917281578,-0.15709624734299588,0.882044942678463,-0.9127588509054878,-0.959577627820847,-0.9998415754688054,4.852400083187687,0.432,0.568,0.0,138.67806751377034,-191.64916702578694,0.439,0.561,-0.019713331912324238,0.09941080108514003,67.4483556279131,0.04835007571893412,1000,138.67806751377034,133.38476839568418,5.293299118086179,42.35305831011459,263.8583011752362,937274.5097730209,75424.49948655715,31.594596976228164,292.6436004176024,-15.818820216475201,-174.60697158045357,-0.4276372012176261,855.1034951058843,292.6436004176024,156.95131747775173,174.60697158045357,7.728857479488096,0.08047215484908754,66,22326.531751469785,338.3079405226957,2.8752006664979888,0.015152731480581367,0.09941080108514003,0.09561632143059798,0.003794479654542064,0.02264845661378363,0.2097803587222956,-0.01133965606915785,-0.1251662878712929,-0.00030654996503055637,1487.03424206118,0.5750395457744297,0.19679681350980105,0.10554653890162025,0.11741960382730032,0.0051974979868487205,Delta,0.5750395457744297,0.19679681350980105,Directional,High,87.78337531486146,84.88664987405542,62.21662468513854,43.2,60.20151133501259,60.579345088161205,60.390428211586894,74.05541561712846,81.48614609571788,46.095717884130984,67.21242653232578,70.42416456759027,False,False,False,False,False,-0.9995446305265128,False,Watchlist,Greek attribution is reliable under local shocks.,Positive Edge -> Watchlist,"Positive valuation and scenario evidence, but the score or consistency is below the Candidate requirement. Composite score: 70.4. Primary risk driver: Directional.",67,5,4
GOOGL260918P00355000,GOOGL,Puts,355.0,2026-09-18,47,356.1300048828125,14.8,15.65,15.225000000000001,0.05582922824302132,909.0,1677.0,Buy,20.060997283339503,0.2818528615552398,441.0997283339503,0.2818528615552398,1565.0,0.9968269877086477,339.35,0.20951659361425093,0.315314464111328,0.309851520045094,-0.005462944066234043,0.20951659361425093,Calculated Mid IV,-0.5924465625886278,0.013857175077009443,0.47414945251264806,-0.22695443375829022,-0.29128796903702286,-42.49999966140425,1000,172.9693305705661,-383.05903214927446,1712.8192318894505,-1545.46584930424,-1559.596165467292,-1564.9999999996687,9271.391720178017,0.11052353391090484,-0.24476615472797092,1.0944531833159423,-0.9875181145713995,-0.996547070586129,-0.9999999999997883,5.92421196177509,0.415,0.585,0.0,215.4693302319703,-340.5590324878702,0.427,0.573,-0.027156549304411665,0.1376800832153165,-268.13039776338417,-0.17132932764433495,1000,215.4693302319703,243.66557650334158,-28.196246271371276,74.89956894778746,528.5519597314964,1312666.4549626848,153305.81376671485,48.76616385144658,550.2514494426417,-19.29275117540261,-335.41595765137714,-0.6433279639669807,1319.8496307344399,550.2514494426417,191.41899796017756,335.4159576513771,11.627122551341554,0.11678961794683242,66,34107.71886841243,692.9244936647157,6.123352463583217,0.020315767710471,0.1376800832153165,0.15569685399574543,-0.01801677078042893,0.031160488083991425,0.3515983702508893,-0.012327636533803586,-0.21432329562388316,-0.00041107218144854994,2408.5631583399777,0.5479821553212259,0.22845630912244141,0.0794743527058293,0.1392597725701955,0.004827410280308017,Delta,0.5479821553212259,0.22845630912244141,Directional,High,92.44332493702771,87.53148614609572,58.060453400503775,41.5,53.40050377833753,52.51889168765743,52.95969773299748,65.23929471032746,86.14609571788414,61.586901763224176,70.99076406381192,70.33918975650714,False,False,False,False,False,-0.9995446305265128,False,Watchlist,Greek attribution is reliable under local shocks.,Buy -> Watchlist,"Positive valuation and scenario evidence, but the score or consistency is below the Candidate requirement. Composite score: 70.3. Primary risk driver: Directional.",69,6,2
AMZN260918P00255000,AMZN,Puts,255.0,2026-09-18,47,271.5799865722656,5.2,5.55,5.375,0.06511627906976737,2165.0,2681.0,Buy,5.837722074743624,0.05184181526912148,28.77220747436242,0.05184181526912148,555.0,0.938949895456108,249.45,0.3268589084189819,0.3172065350341796,0.34133470902212126,0.024128173987941648,0.3268589084189819,Calculated Mid IV,-0.2621001533455203,0.010225155182062413,0.3174174163190017,-0.10250773769536636,-0.09857915703410765,-17.500225925177215,1000,88.58984480952289,-180.74229997552774,754.2621789358933,-541.4708582595152,-549.9488591096379,-554.9995432716981,5641.680011946058,0.15962134199914033,-0.32566180175770765,1.359030953037645,-0.9756231680351626,-0.9908988452425908,-0.9999991770661227,10.165189210713617,0.39,0.61,0.0,106.0900707347001,-163.24207405035054,0.397,0.603,-0.03153193860392291,0.19115328060306325,59.81763733516047,0.10777952673001884,1000,106.0900707347001,87.94401182843468,18.14605890626542,46.46905612675613,264.5628894636589,517916.8512041139,80560.19056698079,16.452272017356442,236.1210972293593,-12.915453554421902,-151.49618553998192,-0.21771832387719792,445.27851755980043,236.12109722935926,128.14466714009555,151.49618553998195,3.9349099917608745,0.15554657157743565,66,11796.530783580194,553.4770810174751,6.233714026947453,0.04691863151731609,0.19115328060306325,0.1584576789701526,0.032695601632910666,0.0296437333646062,0.42544341843127803,-0.023271087485444868,-0.2729661000720395,-0.00039228526824720345,964.9753774609981,0.4614402895246905,0.24469131829107493,0.13279578954362992,0.1569948716604482,0.004077730980156449,Delta,0.4614402895246905,0.24469131829107493,Directional,High,88.66498740554157,90.6801007556675,54.78589420654912,39.0,55.2896725440806,55.66750629722922,55.47858942065491,59.57178841309824,92.69521410579345,70.65491183879094,74.3073047858942,70.15730478589421,False,False,False,False,False,-0.9995446305265128,False,Watchlist,Greek attribution is reliable under local shocks.,Buy -> Watchlist,"Positive valuation and scenario evidence, but the score or consistency is below the Candidate requirement. Composite score: 70.2. Primary risk driver: Directional.",75,7,5
AMZN260918C00270000,AMZN,Calls,270.0,2026-09-18,47,271.5799865722656,13.6,14.1,13.85,0.036101083032490974,11317.0,23076.0,Positive Edge,14.682184565543054,0.04128968549950737,58.2184565543054,0.04128968549950737,1410.0,0.9941822422476436,284.1,0.31969025863538,0.33954517883300783,0.34133470902212126,0.0017895301891134308,0.31969025863538,Calculated Mid IV,0.5597412091276334,0.012661179659921954,0.3844183345687195,-0.1449341295458773,0.17791046627558266,-25.000098497713985,1000,10.815863815349843,-288.99768504322105,1210.931292630798,-1347.1092697081544,-1390.899306325215,-1409.9859039199453,5702.812840739929,0.007670825400957335,-0.2049628971937738,0.8588165195963109,-0.9553966451830883,-0.9864534087412875,-0.999990002780103,4.04454811399995,0.41,0.59,0.0,35.81596231306384,-263.9975865455071,0.424,0.576,-0.01773056631043545,0.025401391711392794,-47.402592738955555,-0.03361886009855004,1000,35.81596231306384,27.791837521957213,8.02412479110663,41.355631901295,253.96605698852704,935970.4327277464,75898.97279866801,-35.13547975590765,292.3742065805813,-15.641665801352241,-214.19815005585207,0.39292655448787006,950.9370087583079,292.37420658058136,155.19362515493293,214.19815005585204,7.101518134755506,0.081091207739834,66,23249.55094694851,347.83714274966826,3.5366353096716026,0.014961026281469822,0.025401391711392794,0.01971052306521788,0.005690868646174915,-0.024918779968728832,0.20735759331956122,-0.011093380000959037,-0.15191358159989507,0.00027867131523962415,1619.8045086844297,0.5870689973141502,0.18049968685297793,0.09581009580037399,0.1322370378076174,0.004384182224880462,Delta,0.5870689973141502,0.18049968685297793,Directional,High,88.28715365239294,75.81863979848866,60.20151133501259,41.0,57.43073047858942,56.67506297229219,57.0528967254408,77.07808564231739,98.99244332493703,99.24433249370277,91.77162048698573,69.99340890008396,False,False,False,False,False,-0.9995446305265128,False,Watchlist,Greek attribution is reliable under local shocks.,Positive Edge -> Watchlist,"Positive valuation and scenario evidence, but the score or consistency is below the Candidate requirement. Composite score: 70.0. Primary risk driver: Directional.",78,8,6
AMZN260918P00250000,AMZN,Puts,250.0,2026-09-18,47,271.5799865722656,4.0,4.3,4.15,0.07228915662650598,4331.0,4895.0,Positive Edge,4.426957575172359,0.029525017481944072,12.69575751723595,0.029525017481944072,430.0,0.9205391131922627,245.7,0.3316318451250145,0.32282171325683584,0.34133470902212126,0.018512995765285423,0.3316318451250145,Calculated Mid IV,-0.2130676154221367,0.008993463552490122,0.28325900461468345,-0.09356233620730442,-0.07985480418368422,-14.999901395674708,1000,76.21122094526794,-164.15945983722855,644.5431691735837,-422.8124973401468,-427.33581301972293,-429.99988899927183,5284.386821178426,0.17723539754713474,-0.3817661856679734,1.498937602729266,-0.9832848775352251,-0.993804216324937,-0.9999997418587717,12.28927167715913,0.381,0.619,0.0,91.21112234094265,-149.15955844155383,0.389,0.611,-0.03488349161784816,0.21211888916498292,63.51546342803199,0.14771038006519066,1000,91.21112234094265,71.07539237869398,20.135729962248682,45.63122940404239,264.56125226351674,426833.2135937166,81549.65962880611,13.37445370508173,207.67865563854454,-11.525575881746969,-138.2757766807752,-0.176364402410118,361.97778110453845,207.67865563854454,114.35456592685544,138.2757766807752,3.1875040964670545,0.191057436562164,66,9640.205282406703,617.1129893719458,7.4971190775623455,0.06401450708712314,0.21211888916498292,0.16529161018300925,0.046827278981973676,0.031103380709492395,0.48297361776405706,-0.02680366484127202,-0.3215715736762214,-0.00041014977304678604,825.4742834471807,0.4385088528656752,0.2515870691589306,0.1385319545623042,0.16751070197285317,0.0038614214402368017,Delta,0.4385088528656752,0.2515870691589306,Directional,High,87.53148614609572,91.43576826196474,52.39294710327456,38.1,54.15617128463476,54.53400503778337,54.34508816120906,57.80856423173803,96.34760705289672,79.84886649874056,78.0016792611251,69.79350545759867,False,False,False,False,False,-0.9995446305265128,False,Watchlist,Greek attribution is reliable under local shocks.,Positive Edge -> Watchlist,"Positive valuation and scenario evidence, but the score or consistency is below the Candidate requirement. Composite score: 69.8. Primary risk driver: Directional.",79,9,7
GOOGL260918P00360000,GOOGL,Puts,360.0,2026-09-18,47,356.1300048828125,17.2,18.2,17.7,0.05649717514124294,190.0,2088.0,Buy,23.20347479209167,0.27491619736767414,500.3474792091669,0.27491619736767414,1820.0,1.0108668044369387,341.8,0.18932748384518433,0.3127815304565429,0.309851520045094,-0.0029300104114489134,0.18932748384518433,Calculated Mid IV,-0.6789949196430688,0.01388976883846701,0.42946799628794474,-0.22546167284661223,-0.33416415779910547,-50.000107624525114,1000,172.75722429147802,-396.9111767394363,1863.6210382232373,-1800.0330831757303,-1814.5023623251386,-1820.0,9514.238987830164,0.09492155180850441,-0.2180830641425474,1.0239676034193612,-0.9890291665800717,-0.9969793199588673,-1.0,5.227603839467123,0.426,0.574,0.0,222.75733191600312,-346.9110691149112,0.436,0.564,-0.02747258660688193,0.12239413841538634,-327.59025491768887,-0.17999464555916972,1000,222.75733191600312,256.01341408964385,-33.25608217364068,78.99750277620603,656.6309522795251,1455968.677651528,180548.4981564387,55.89023482714571,551.5457077878775,-17.474699477715895,-333.2098063000082,-0.738022747655313,1512.6616484122162,551.5457077878775,173.38063572521096,333.2098063000082,13.338579096969859,0.1240057570796528,66,38857.17047666855,884.1263463502228,9.787299449026875,0.02275323538756093,0.12239413841538634,0.14066671103826586,-0.018272572622879492,0.030708920234695444,0.3030470921911415,-0.009601483229514228,-0.18308231115385065,-0.0004055070042062159,2584.136377322283,0.5853644806392365,0.21343521674324195,0.06709422817106515,0.1289443580548503,0.0051617163916060325,Delta,0.5853644806392365,0.21343521674324195,Directional,High,92.31738035264485,86.272040302267,59.3198992443325,42.6,52.51889168765743,51.51133501259446,52.015113350125944,64.73551637279597,70.15113350125944,66.62468513853904,67.17044500419816,69.77581024349286,False,False,False,False,False,-0.9995446305265128,False,Watchlist,Greek attribution is reliable under local shocks.,Buy -> Watchlist,"Positive valuation and scenario evidence, but the score or consistency is below the Candidate requirement. Composite score: 69.8. Primary risk driver: Directional.",81,10,3
