2026-08-12 12:58:55,115 | INFO | Connected to Gemini WebSocket
2026-08-12 12:58:55,116 | INFO | Subscribed to btcusd@depth@100ms
2026-08-12 12:58:55,633 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:55,633 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:56,175 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:56,274 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:56,677 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:56,775 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:56,873 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:57,223 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:57,274 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:57,474 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:57,572 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:57,723 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:57,773 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:57,872 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:57,973 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:58,072 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:58,247 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:58,274 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511925500
2026-08-12 12:58:58,373 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:58:58,475 | INFO | 64177.64000 0.0711114800 - 64177.65000 0.3511146500
2026-08-12 12:58:58,576 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:58:58,674 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:58:58,772 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:58:58,974 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:58:59,074 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:58:59,175 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:58:59,373 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:58:59,474 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:58:59,573 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:58:59,673 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:58:59,821 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:58:59,973 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:00,073 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:00,346 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:00,373 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:00,573 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:00,675 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:00,773 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:00,972 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:01,073 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:01,176 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:01,276 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:01,394 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:01,474 | INFO | 64177.64000 0.0939126000 - 64177.65000 0.3511146500
2026-08-12 12:59:01,574 | INFO | 64177.64000 0.0939126000 - 64177.65000 0.3511146500
2026-08-12 12:59:01,676 | INFO | 64177.64000 0.0939126000 - 64177.65000 0.3511146500
2026-08-12 12:59:01,773 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:01,917 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:01,973 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:02,174 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:02,272 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:02,441 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:02,473 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:02,574 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:02,673 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:02,773 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:02,874 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:02,974 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:03,074 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:03,173 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3511146500
2026-08-12 12:59:03,273 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:03,372 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:03,901 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:03,902 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:04,174 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:04,594 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:04,595 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:05,105 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:05,105 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:05,172 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:05,272 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:05,773 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:05,984 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3511146500
2026-08-12 12:59:06,172 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3510367500
2026-08-12 12:59:06,273 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3510367500
2026-08-12 12:59:06,373 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3510367500
2026-08-12 12:59:06,475 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3510367500
2026-08-12 12:59:06,637 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3510367500
2026-08-12 12:59:06,682 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3510367500
2026-08-12 12:59:06,783 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3510367500
2026-08-12 12:59:06,883 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3510367500
2026-08-12 12:59:06,983 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3510367500
2026-08-12 12:59:07,160 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3510367500
2026-08-12 12:59:07,183 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3510367500
2026-08-12 12:59:07,283 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:07,386 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:07,484 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:07,586 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:07,685 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:07,784 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:07,884 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:07,986 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:08,083 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:08,208 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:08,283 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:08,387 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:08,484 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:08,582 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:08,733 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:08,783 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:08,883 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:09,306 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:09,307 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:09,384 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:09,485 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:09,584 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:09,684 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:09,783 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3510367500
2026-08-12 12:59:09,983 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3510367500
2026-08-12 12:59:10,082 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3510367500
2026-08-12 12:59:10,535 | INFO | 64177.64000 0.0994126000 - 64177.65000 0.3510367500
2026-08-12 12:59:10,839 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3510367500
2026-08-12 12:59:10,882 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3509588500
2026-08-12 12:59:10,983 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3509588500
2026-08-12 12:59:11,182 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3508809500
2026-08-12 12:59:11,382 | INFO | 64177.64000 0.0939126000 - 64177.65000 0.3508809500
2026-08-12 12:59:11,482 | INFO | 64177.64000 0.0939126000 - 64177.65000 0.3507251500
2026-08-12 12:59:12,069 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3507251500
2026-08-12 12:59:12,401 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3507251500
2026-08-12 12:59:12,582 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3507251500
2026-08-12 12:59:12,781 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3507251500
2026-08-12 12:59:12,927 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3507251500
2026-08-12 12:59:13,501 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3507251500
2026-08-12 12:59:13,582 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3507251500
